epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11742.1,1.25398,1.04596,1.34726,0.63344,0.69959,0.69554,0.4435,1.25784,0.86121,1.38911,0.00643101,0.00643101,0.00643101
43,12021.4,1.25884,1.04759,1.35097,0.63645,0.70191,0.69677,0.44393,1.25713,0.86017,1.38797,0.00628101,0.00628101,0.00628101
44,12300.3,1.25827,1.0423,1.35055,0.63579,0.70353,0.69735,0.4445,1.25574,0.85826,1.38643,0.00612981,0.00612981,0.00612981
45,12578.6,1.25561,1.03275,1.35238,0.63657,0.7021,0.6977,0.44562,1.25433,0.85582,1.38515,0.00597754,0.00597754,0.00597754
46,12860.6,1.24461,1.02543,1.34086,0.63663,0.70316,0.69842,0.44586,1.25338,0.85477,1.3841,0.00582435,0.00582435,0.00582435
47,13144.3,1.24119,1.02196,1.34028,0.63718,0.70011,0.69887,0.44658,1.25265,0.85294,1.38347,0.0056704,0.0056704,0.0056704
48,13428.8,1.24199,1.01946,1.33537,0.63905,0.69896,0.69942,0.44692,1.25167,0.85164,1.3824,0.00551584,0.00551584,0.00551584
49,13712.1,1.23647,1.01125,1.33669,0.63704,0.69886,0.69979,0.44756,1.25077,0.85092,1.38161,0.00536081,0.00536081,0.00536081
50,13996.1,1.23549,1.00874,1.33047,0.63881,0.69758,0.69992,0.44851,1.24995,0.84987,1.38063,0.00520548,0.00520548,0.00520548
51,14280.6,1.23223,1.00899,1.33445,0.64222,0.69591,0.70033,0.44906,1.24922,0.84876,1.37981,0.00505,0.00505,0.00505
52,14567.5,1.23267,0.99706,1.32903,0.64293,0.69598,0.70056,0.44926,1.2485,0.84746,1.37904,0.00489452,0.00489452,0.00489452
53,14850,1.22062,0.98357,1.3246,0.64182,0.69912,0.70098,0.44974,1.24778,0.84593,1.37824,0.00473919,0.00473919,0.00473919
54,15126.3,1.21721,0.98251,1.32369,0.63872,0.70343,0.70191,0.45049,1.24702,0.84456,1.37744,0.00458416,0.00458416,0.00458416
55,15405.7,1.22086,0.98005,1.31998,0.63764,0.70384,0.70164,0.45086,1.24629,0.84335,1.37676,0.0044296,0.0044296,0.0044296
56,15687.4,1.21321,0.96785,1.31834,0.63948,0.70459,0.702,0.45123,1.24554,0.84227,1.3761,0.00427565,0.00427565,0.00427565
57,15966.4,1.21499,0.96774,1.31339,0.63985,0.70365,0.70218,0.45157,1.24509,0.84087,1.37556,0.00412246,0.00412246,0.00412246
58,16248.7,1.20842,0.95832,1.31254,0.63948,0.70377,0.70244,0.45199,1.24442,0.83996,1.37502,0.00397019,0.00397019,0.00397019
59,16532.8,1.20884,0.95546,1.3106,0.63781,0.7061,0.70285,0.45177,1.24374,0.83886,1.37435,0.00381899,0.00381899,0.00381899
60,16814.4,1.20001,0.94674,1.30509,0.63821,0.7069,0.70302,0.452,1.24285,0.83767,1.37344,0.00366899,0.00366899,0.00366899
61,17098.4,1.19276,0.94568,1.3026,0.63896,0.70823,0.70315,0.4521,1.242,0.83628,1.37248,0.00352037,0.00352037,0.00352037
62,17378.6,1.18733,0.93468,1.29974,0.63913,0.70692,0.70333,0.4526,1.24109,0.83515,1.37137,0.00337325,0.00337325,0.00337325
63,17660.1,1.18676,0.92924,1.30005,0.6396,0.70726,0.70371,0.4528,1.24006,0.83394,1.37049,0.00322778,0.00322778,0.00322778
